year,sex,nus,ntu,smu,sit,sutd,suss,nie,singapore_polytechnic,ngee_ann_polytechnic,temasek_polytechnic,nanyang_polytechnic,republic_polytechnic,lasalle_diploma,lasalle_degree,nafa_diploma,nafa_degree,ite
1982,MF,3937,582,-,-,-,-,888,2095,1614,-,-,-,-,-,-,-,8623
1982,F,2024,57,-,-,-,-,739,429,498,-,-,-,-,-,-,-,1336
1983,MF,4161,702,-,-,-,-,678,2597,2250,-,-,-,-,-,-,-,8881
1983,F,2478,63,-,-,-,-,502,550,892,-,-,-,-,-,-,-,1985
1984,MF,4441,690,-,-,-,-,595,2993,3405,-,-,-,-,-,-,-,6426
1984,F,2217,110,-,-,-,-,459,776,1139,-,-,-,-,-,-,-,2115
1985,MF,4654,708,-,-,-,-,945,3021,3912,-,-,-,-,-,-,-,11891
1985,F,2308,82,-,-,-,-,743,767,1476,-,-,-,-,-,-,-,3265
1986,MF,4897,796,-,-,-,-,1059,2872,3754,-,-,-,-,-,-,-,11171
1986,F,2581,114,-,-,-,-,864,703,1461,-,-,-,-,-,-,-,3811
1987,MF,4486,1423,-,-,-,-,882,3719,3903,-,-,-,-,-,-,-,13397
1987,F,2326,556,-,-,-,-,706,1121,1607,-,-,-,-,-,-,-,4599
1988,MF,5337,1615,-,-,-,-,759,3512,3698,-,-,-,-,-,-,-,12509
1988,F,2691,666,-,-,-,-,581,1163,1436,-,-,-,-,-,-,-,4306
1989,MF,5059,1328,-,-,-,-,1074,3944,4421,-,-,-,-,-,-,-,9982
1989,F,2589,733,-,-,-,-,793,1388,1852,-,-,-,-,-,-,-,3675
1990,MF,5053,1875,-,-,-,-,1185,4336,4453,735,-,-,-,-,-,-,9221
1990,F,2430,1046,-,-,-,-,895,1553,1902,552,-,-,-,-,-,-,3352
1991,MF,4304,2635,-,-,-,-,1236,4577,4508,873,-,-,-,-,-,-,8969
1991,F,2319,1131,-,-,-,-,969,1763,2026,542,-,-,-,-,-,-,3342
1992,MF,4541,3004,-,-,-,-,1048,4911,4831,957,699,-,-,-,-,-,8743
1992,F,2588,1194,-,-,-,-,753,1963,2040,598,580,-,-,-,-,-,3227
1993,MF,4716,3297,-,-,-,-,1347,4723,4534,1514,2342,-,-,-,-,-,8195
1993,F,2595,1350,-,-,-,-,1018,1846,1880,826,1234,-,-,-,-,-,2813
1994,MF,5015,3425,-,-,-,-,997,4883,4932,1686,2581,-,-,-,-,-,5806
1994,F,2697,1458,-,-,-,-,706,1872,2158,910,1441,-,-,-,-,-,1975
1995,MF,5076,3525,-,-,-,-,1024,4820,5210,2644,2733,-,-,-,-,-,4889
1995,F,2929,1651,-,-,-,-,735,1749,2153,1513,1588,-,-,-,-,-,1617
1996,MF,5189,3740,-,-,-,-,1659,4584,4793,3733,2761,-,-,-,-,-,4935
1996,F,3102,1542,-,-,-,-,1201,1737,2120,1880,1550,-,-,-,-,-,1507
1997,MF,5410,3840,-,-,-,-,1612,4575,4909,3917,3083,-,-,-,-,-,5304
1997,F,3059,1704,-,-,-,-,1111,1796,2135,2059,1717,-,-,-,-,-,1482
1998,MF,5741,4019,-,-,-,-,1613,4576,4551,4427,3619,-,-,-,-,-,11137
1998,F,3165,1705,-,-,-,-,1155,1854,1916,2346,1997,-,-,-,-,-,3495
1999,MF,6372,4245,-,-,-,-,2628,4440,4831,4283,3923,-,-,-,-,-,10461
1999,F,3545,1817,-,-,-,-,1840,1766,2269,2182,2031,-,-,-,-,-,3353
2000,MF,6421,4506,305,-,-,-,2186,4446,4673,4519,3881,-,-,-,-,-,9772
2000,F,3437,2113,212,-,-,-,1564,1843,2236,2244,1985,-,-,-,-,-,3248
2001,MF,6479,4156,509,-,-,-,2102,4847,4688,4328,4250,-,-,-,-,-,10313
2001,F,3534,1944,376,-,-,-,1523,1983,2205,2129,2239,-,-,-,-,-,3297
2002,MF,6019,4411,607,-,-,-,2352,4883,4527,4183,4641,-,-,-,-,-,10628
2002,F,3252,2066,408,-,-,-,1664,1921,2232,2156,2538,-,-,-,-,-,3617
2003,MF,6245,4350,824,-,-,-,1692,4347,4358,3878,4590,821,-,-,-,-,10566
2003,F,3413,1854,512,-,-,-,1171,1678,2109,1936,2594,377,-,-,-,-,3732
2004,MF,5722,5377,1095,-,-,-,1583,4410,4443,4140,5020,1134,-,-,-,-,11650
2004,F,2955,2555,712,-,-,-,1085,1676,2057,2043,2811,517,-,-,-,-,4222
2005,MF,6095,5206,1207,-,-,-,2208,4545,4801,4775,4993,1792,678,-,826,-,13705
2005,F,3122,2663,586,-,-,-,1492,1725,2363,2510,2590,948,400,-,534,-,5139
2006,MF,6631,5746,1356,-,-,-,1884,4746,4949,5009,4952,2620,1008,-,773,-,13645
2006,F,3618,2735,640,-,-,-,1292,1719,2336,2448,2511,1380,603,-,509,-,5035
2007,MF,6554,6196,1603,-,-,-,1852,5006,4817,4833,4965,3741,790,-,713,-,13967
2007,F,3710,3201,896,-,-,-,1292,1804,2355,2399,2683,1947,540,-,495,-,5064
2008,MF,6432,6033,1670,-,-,-,1702,5193,5278,5023,5279,4065,728,-,852,-,14205
2008,F,3389,3039,952,-,-,-,1158,2069,2578,2489,2700,2117,460,-,578,-,5318
2009,MF,6775,6719,1770,-,-,-,2003,5289,5300,5080,5338,4617,727,-,797,-,13705
2009,F,3426,3379,889,-,-,-,1390,2152,2572,2545,2782,2447,455,-,538,-,5314
2010,MF,6568,6132,1686,523,-,-,1939,5429,5387,5067,5482,4342,795,-,835,-,13886
2010,F,3405,2951,823,275,-,-,1327,2260,2573,2604,2933,2292,530,-,559,-,5248
2011,MF,6724,6177,1729,936,-,-,1827,5348,5466,5377,5538,5008,580,-,716,20,14098
2011,F,3566,3026,869,472,-,-,1258,2115,2643,2666,2797,2580,341,-,508,9,5484
2012,MF,6733,5905,1930,1304,327,-,1782,5407,5561,5370,5116,5300,495,398,757,25,13906
2012,F,3545,3028,1121,597,149,-,1198,2094,2682,2652,2615,2834,312,278,530,13,5144
2013,MF,6892,6660,1924,1510,265,-,1424,5364,5487,5370,5604,5054,456,422,646,26,14432
2013,F,3685,3537,983,627,103,-,946,2071,2620,2630,2915,2706,289,282,454,12,5459
2014,MF,7108,6480,1912,1836,317,217,1623,5312,5145,5270,5349,4701,427,447,721,27,14641
2014,F,3857,3153,908,813,125,145,1097,2092,2512,2654,2756,2523,285,306,532,19,5574
2015,MF,6935,6525,1944,2076,362,284,1231,4814,4872,4800,4959,4806,424,502,819,33,14173
2015,F,3720,3140,1062,907,167,196,831,1928,2383,2389,2582,2493,263,359,563,21,5204
2016,MF,7011,6138,1961,2559,460,423,1256,4737,4728,4641,4766,4249,388,510,942,16,14763
2016,F,3680,2964,1052,1196,172,286,884,1828,2374,2156,2388,2272,240,368,699,10,5635
2017,MF,7121,5955,2004,2589,424,575,569,4958,4886,4900,4920,4400,518,531,921,23,15506
2017,F,3468,2867,1103,1066,151,418,404,1955,2578,2323,2437,2243,334,391,657,14,5915
2018,MF,7856,6160,2161,2660,437,767,556,4821,4874,4861,4920,4393,475,487,865,23,14819
2018,F,4139,2889,1230,1072,155,516,379,1869,2576,2281,2461,2207,322,349,608,14,5629
2019,MF,7847,6482,2365,2718,415,886,515,4616,4492,4536,4556,3871,445,448,815,28,15147
2019,F,4140,3155,1387,1127,158,512,367,1800,2376,2177,2287,1959,293,325,598,19,5908
2020,MF,7486,6693,2429,2894,475,999,530,4270,4201,4274,4329,3940,415,435,789,17,14661
2020,F,3513,3284,1484,1292,186,625,377,1656,2293,1945,2199,1919,270,324,562,10,5716
2021,MF,7881,6483,2436,2952,468,1087,467,4104,4088,4210,4223,3861,413,449,686,218,14738
2021,F,3922,2822,1333,1231,165,714,292,1583,2215,1935,2123,1874,262,333,490,166,5905
